,Model,Prediction.Actual,Prediction.Predicted
GSM2333905,gamSpline,74,52.326168
GSM2333906,gamSpline,76,80.767587
GSM2333910,gamSpline,34,56.247974
GSM2333914,gamSpline,55,57.53219
GSM2333917,gamSpline,80,78.008022
GSM2333926,gamSpline,16,18.407546
GSM2333933,gamSpline,80,100.277949
GSM2333935,gamSpline,82,69.581102
GSM2333941,gamSpline,66,57.598753
GSM2333958,gamSpline,69,48.214244
GSM2333960,gamSpline,66,53.828606
GSM2333961,gamSpline,22,38.708958
GSM2333962,gamSpline,23,23.511622
GSM2333981,gamSpline,28,25.758329
GSM2333990,gamSpline,17,32.514841
GSM2333991,gamSpline,82,85.366649
GSM2334000,gamSpline,40,46.924134
GSM2334001,gamSpline,43,39.747292
GSM2334010,gamSpline,47,47.450199
GSM2334022,gamSpline,22,19.100547
GSM2334023,gamSpline,27,31.854012
GSM2334025,gamSpline,26,37.000685
GSM2334030,gamSpline,80,76.696306
GSM2334033,gamSpline,64,49.232916
GSM2334035,gamSpline,17,19.755269
GSM2334037,gamSpline,76,61.905146
GSM2334043,gamSpline,56,59.108359
GSM2334045,gamSpline,20,31.049835
GSM2334050,gamSpline,69,49.572128
GSM2334053,gamSpline,39,36.168179
GSM2334056,gamSpline,47,48.233699
GSM2334057,gamSpline,17,19.111117
GSM2334061,gamSpline,18,8.289728
GSM2334062,gamSpline,17,23.631011
GSM2334063,gamSpline,80,75.040126
GSM2334086,gamSpline,59,62.582682
GSM2334089,gamSpline,65,66.760674
GSM2334097,gamSpline,69,74.78894
GSM2334102,gamSpline,29,34.589758
GSM2334112,gamSpline,36,25.736139
GSM2334126,gamSpline,35,49.498953
GSM2334129,gamSpline,70,64.938729
GSM2334135,gamSpline,15,11.028349
GSM2334137,gamSpline,27,44.354568
GSM2334144,gamSpline,48,57.133376
GSM2334152,gamSpline,15,21.758407
GSM2334158,gamSpline,22,42.95423
GSM2334159,gamSpline,46,29.286137
GSM2334162,gamSpline,66,63.156615
GSM2334163,gamSpline,77,63.749235
GSM2334168,gamSpline,45,55.437102
GSM2334171,gamSpline,48,39.701045
GSM2334174,gamSpline,43,54.70327
GSM2334180,gamSpline,28,14.913472
GSM2334184,gamSpline,63,60.765175
GSM2334186,gamSpline,34,41.66196
GSM2334197,gamSpline,16,28.145233
GSM2334211,gamSpline,44,61.597885
GSM2334215,gamSpline,41,27.199925
GSM2334223,gamSpline,78,89.470274
GSM2334224,gamSpline,72,73.18536
GSM2334245,gamSpline,34,39.803762
GSM2334247,gamSpline,25,28.576816
GSM2334259,gamSpline,72,68.831314
GSM2334260,gamSpline,39,35.334438
GSM2334262,gamSpline,15,21.244469
GSM2334263,gamSpline,62,55.241209
GSM2334275,gamSpline,41,36.160887
GSM2334288,gamSpline,62,69.967183
GSM2334289,gamSpline,69,50.676868
GSM2334298,gamSpline,38,33.640904
GSM2334301,gamSpline,70,59.52478
GSM2334303,gamSpline,63,62.614832
GSM2334310,gamSpline,19,32.111762
GSM2334312,gamSpline,38,46.345285
GSM2334317,gamSpline,40,31.660469
GSM2334329,gamSpline,33,25.590594
GSM2334334,gamSpline,82,55.639539
GSM2334335,gamSpline,69,64.510707
GSM2334339,gamSpline,34,37.03687
GSM2334355,gamSpline,59,57.132278
GSM2334362,gamSpline,15,17.427
GSM2334366,gamSpline,94,68.06278
GSM2334369,gamSpline,48,48.403625
GSM2334370,gamSpline,21,32.714717
GSM2334373,gamSpline,72,58.702012
GSM2334374,gamSpline,48,38.3411
GSM2334380,gamSpline,85,49.086353
GSM2334381,gamSpline,48,43.662641
GSM2334386,gamSpline,41,42.950244
GSM2334395,gamSpline,58,70.311716
GSM2334404,gamSpline,70,59.032942
GSM2334407,gamSpline,48,76.165422
GSM2334415,gamSpline,52,73.840169
GSM2334419,gamSpline,35,21.470209
GSM2334421,gamSpline,20,34.932844
GSM2334432,gamSpline,49,56.299589
GSM2334433,gamSpline,40,44.781109
GSM2334438,gamSpline,66,71.182609
GSM2334442,gamSpline,71,72.630034
GSM2334447,gamSpline,21,36.621874
GSM2334452,gamSpline,23,23.891417
GSM2334457,gamSpline,71,69.630044
GSM2334458,gamSpline,49,38.193635
GSM2334467,gamSpline,32,48.677776
GSM2334469,gamSpline,40,49.412384
GSM2334472,gamSpline,39,33.970254
GSM2334476,gamSpline,21,47.366349
GSM2334478,gamSpline,70,64.190006
GSM2334482,gamSpline,54,49.956697
GSM2334483,gamSpline,64,62.17279
GSM2334485,gamSpline,51,69.191384
GSM2334495,gamSpline,38,40.717394
GSM2334502,gamSpline,61,59.236743
GSM2334504,gamSpline,38,44.281642
GSM2334508,gamSpline,80,69.232607
GSM2334509,gamSpline,18,34.362388
GSM2334535,gamSpline,54,62.939059
GSM2334538,gamSpline,70,60.376975
GSM2334539,gamSpline,33,28.819553
GSM2334542,gamSpline,57,52.508114
GSM2334546,gamSpline,80,82.434818
GSM2334551,gamSpline,45,54.966425
GSM2334556,gamSpline,22,20.391179
GSM2334558,gamSpline,33,37.427162
GSM2334565,gamSpline,65,83.898516
GSM2334570,gamSpline,71,59.553688
GSM2334571,gamSpline,66,58.588536
GSM2334577,gamSpline,21,20.954937
GSM2334584,gamSpline,21,40.365288
GSM2334587,gamSpline,48,55.538299
GSM2334591,gamSpline,15,23.178582
GSM2334598,gamSpline,70,69.774983
GSM2334603,gamSpline,44,19.079151
GSM2334604,gamSpline,17,30.999084
GSM2334607,gamSpline,56,42.332316
GSM2334610,gamSpline,53,59.578473
GSM2334615,gamSpline,38,36.47147
GSM2334618,gamSpline,59,48.455271
GSM2334620,gamSpline,86,68.976597
GSM2334626,gamSpline,16,35.919914